"","member_casual","weekday","number_of_rides","average_duration"
"1","casual","Sun",181293,59.6900897993855
"2","casual","Mon",103296,56.2047820502891
"3","casual","Tue",90510,59.9393324862814
"4","casual","Wed",92457,61.9776982813632
"5","casual","Thu",102679,61.3830778445447
"6","casual","Fri",122404,62.897251859961
"7","casual","Sat",209543,55.5318973512199
"8","member","Sun",267965,15.332910268132
"9","member","Mon",472196,14.0428761573584
"10","member","Tue",508445,13.7690457833853
"11","member","Wed",500329,13.7333274039016
"12","member","Thu",484177,13.7321300543672
"13","member","Fri",452790,13.7421751069296
"14","member","Sat",287958,16.1488953828915
