"","member_casual","month","number_of_rides","average_duration"
"1","casual","01",7785,161.649486191394
"2","casual","02",12314,133.286076823128
"3","casual","03",24615,70.8370505789153
"4","casual","04",47744,50.9424524547587
"5","casual","05",81624,51.2383620830475
"6","casual","06",130218,45.9200398562411
"7","casual","07",175632,59.7838249863351
"8","casual","08",186889,67.0075223795943
"9","casual","09",129173,51.6667030519794
"10","casual","10",71035,58.9921503484198
"11","casual","11",18723,67.0327636240631
"12","casual","12",16430,63.3326567255021
"13","member","01",136099,11.1490375878343
"14","member","02",126714,12.8066193685518
"15","member","03",115593,14.3344059184668
"16","member","04",217566,13.5127921335748
"17","member","05",285834,13.8498970847881
"18","member","06",345177,14.5474413127178
"19","member","07",381683,16.4333330276696
"20","member","08",403295,16.1855404852527
"21","member","09",364046,14.1306485993528
"22","member","10",300751,13.030887511596
"23","member","11",158440,12.4320709206429
"24","member","12",138662,11.4151639718644
